App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 20, 2018 @ 06:50:52 PM","43 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
29431,800000,29431,800000,29432,800000,29432,800000,
29531,800000,29532,800000,29532,800000,29532,800000,
29632,800000,29633,800000,29633,800000,29633,800000,
29733,998400,29733,998400,29734,998400,29734,998400,
29834,800000,29834,800000,29834,800000,29835,800000,
29935,800000,29935,800000,29936,800000,29936,800000,
30035,800000,30036,800000,30036,800000,30036,800000,
30136,800000,30137,800000,30137,800000,30137,800000,
30237,998400,30238,998400,30238,800000,30239,800000,
30338,800000,30338,800000,30339,800000,30339,800000,
30439,800000,30439,800000,30439,800000,30440,800000,
30540,800000,30540,800000,30541,800000,30541,800000,
30640,998400,30641,998400,30641,998400,30641,998400,
30741,800000,30742,800000,30742,800000,30742,800000,
30842,800000,30843,800000,30843,800000,30843,800000,
30943,800000,30944,800000,30944,800000,30944,800000,
31044,800000,31044,800000,31044,800000,31045,800000,
31145,800000,31145,800000,31146,800000,31146,800000,
31246,800000,31246,800000,31246,800000,31247,800000,
31347,800000,31347,800000,31348,800000,31348,800000,
31449,800000,31452,800000,31455,800000,31456,998400,
31548,1209600,31548,1209600,31548,1209600,31549,1209600,
31648,1209600,31649,1209600,31649,1209600,31649,1209600,
31749,1209600,31749,1209600,31750,1209600,31750,1209600,
31850,800000,31850,800000,31851,800000,31851,800000,
31951,800000,31951,800000,31951,800000,31952,800000,
32051,800000,32052,800000,32052,800000,32052,800000,
32152,800000,32152,800000,32153,800000,32153,800000,
32253,998400,32254,800000,32254,800000,32255,998400,
32354,800000,32354,800000,32355,800000,32355,800000,
32455,800000,32455,800000,32455,800000,32456,800000,
32555,800000,32556,800000,32556,800000,32557,800000,
32656,800000,32657,800000,32657,800000,32658,800000,
32757,800000,32758,800000,32758,800000,32758,800000,
32858,800000,32858,800000,32859,800000,32859,800000,
32959,800000,32959,800000,32961,800000,32961,800000,
33060,800000,33060,800000,33061,800000,33061,800000,
33161,800000,33161,800000,33162,800000,33162,800000,
33261,998400,33262,998400,33262,998400,33262,998400,
33362,800000,33363,800000,33363,800000,33365,800000,
33463,998400,33463,998400,33464,998400,33465,998400,
33563,800000,33564,800000,33564,800000,33565,800000,
33664,800000,33665,800000,33665,800000,33665,800000,
33764,800000,33765,800000,33765,800000,33766,800000,
33865,800000,33866,800000,33866,800000,33866,800000,
33966,800000,33967,800000,33968,800000,33968,800000,
34067,800000,34067,800000,34068,800000,34068,800000,
34168,800000,34168,800000,34169,800000,34169,800000,
34269,800000,34269,800000,34270,800000,34270,800000,
34369,800000,34370,800000,34370,800000,34371,800000,
34470,800000,34470,800000,34471,800000,34471,800000,
34571,800000,34571,800000,34572,800000,34572,800000,
