App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 20, 2018 @ 07:36:30 PM","40 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
13573,200000,13574,45,13576,97,13576,1209600,13576,1209600,13591,97,13592,1209600,13592,1209600,
13673,200000,13674,45,13675,72,13675,1209600,13676,1209600,13686,71,13686,1209600,13686,1209600,
13774,200000,13774,45,13776,39,13776,1209600,13777,1209600,13787,34,13787,1209600,13788,1209600,
13874,200000,13875,47,13876,38,13877,1209600,13877,1209600,13885,40,13886,1209600,13886,1209600,
13975,200000,13975,47,13976,41,13977,1209600,13977,1209600,13986,39,13987,1209600,13987,1209600,
14076,200000,14076,47,14078,35,14078,1209600,14078,1209600,14085,36,14085,1209600,14085,1209600,
14176,200000,14177,47,14178,36,14179,1209600,14179,1209600,14185,39,14185,1209600,14185,1209600,
14276,200000,14277,47,14279,37,14279,1209600,14280,1209600,14287,36,14287,1209600,14288,1209600,
14377,200000,14378,47,14380,20,14380,1094400,14381,1094400,14390,19,14391,1094400,14391,1094400,
14478,200000,14480,47,14481,26,14482,998400,14483,998400,14492,19,14492,998400,14493,998400,
14581,200000,14588,47,14591,13,14592,800000,14593,800000,14608,12,14608,998400,14609,998400,
14683,200000,14685,47,14687,35,14688,800000,14689,800000,14720,30,14720,1152000,14721,1152000,
14784,200000,14784,41,14785,35,14786,1152000,14786,1152000,14792,33,14793,1152000,14793,1152000,
14885,200000,14888,41,14892,20,14893,800000,14895,800000,14915,23,14916,1094400,14917,1094400,
14986,200000,14989,41,14993,28,14993,800000,14995,800000,15008,21,15009,998400,15009,998400,
15086,200000,15087,41,15088,23,15089,1152000,15089,1152000,15095,19,15095,1152000,15096,1209600,
15188,200000,15189,41,15192,21,15194,800000,15195,800000,15210,20,15210,998400,15211,998400,
15288,200000,15289,41,15291,25,15291,998400,15292,998400,15303,19,15303,1209600,15304,1209600,
15389,200000,15392,41,15393,13,15393,800000,15394,800000,15417,13,15417,800000,15418,998400,
15490,200000,15492,41,15499,31,15500,998400,15501,998400,15512,27,15513,998400,15514,998400,
15593,200000,15598,41,15604,26,15605,800000,15606,800000,15626,19,15626,998400,15627,998400,
15692,200000,15695,41,15699,43,15700,800000,15701,800000,15722,35,15723,998400,15724,998400,
15795,200000,15799,48,15803,30,15804,800000,15806,800000,15823,21,15823,998400,15824,998400,
15896,200000,15900,48,15902,32,15903,1209600,15903,1209600,15910,25,15911,1209600,15911,1209600,
15997,200000,15997,48,15999,13,15999,1209600,15999,1209600,16005,12,16006,1209600,16006,1209600,
16100,200000,16103,48,16108,19,16110,800000,16111,800000,16126,22,16127,998400,16127,998400,
16150,200000,16151,48,16152,44,16152,998400,16153,998400,16158,19,16158,1209600,16159,1209600,
16251,200000,16252,48,16253,19,16254,800000,16255,800000,16260,14,16261,800000,16262,800000,
16352,200000,16352,48,16353,17,16354,998400,16354,998400,16358,13,16359,998400,16360,998400,
16453,200000,16453,48,16455,17,16455,998400,16455,998400,16461,13,16462,800000,16462,800000,
16553,200000,16554,48,16555,35,16555,998400,16556,998400,16560,27,16561,998400,16561,998400,
16654,200000,16655,48,16657,19,16657,998400,16658,998400,16664,15,16664,998400,16665,998400,
16756,200000,16757,48,16758,21,16758,1209600,16758,1209600,16763,16,16764,1209600,16764,1209600,
16856,200000,16857,46,16858,10,16858,1209600,16859,1209600,16863,10,16863,1209600,16863,1209600,
16957,200000,16958,46,16959,20,16960,998400,16960,998400,16966,16,16967,998400,16967,998400,
17058,200000,17059,46,17060,20,17061,998400,17062,998400,17068,17,17068,998400,17069,998400,
17159,200000,17160,46,17161,24,17162,998400,17162,998400,17167,15,17167,998400,17167,998400,
17261,200000,17262,46,17263,13,17263,998400,17264,998400,17269,11,17270,998400,17270,998400,
17361,200000,17362,46,17363,12,17363,1209600,17364,1209600,17367,10,17368,1209600,17368,1209600,
17462,200000,17463,46,17464,26,17465,998400,17465,998400,17469,24,17470,998400,17470,998400,
17563,200000,17564,46,17565,17,17565,1209600,17565,1209600,17569,15,17569,1209600,17570,1209600,
17664,200000,17665,46,17667,19,17667,998400,17668,998400,17673,14,17674,998400,17674,998400,
17765,200000,17766,46,17767,30,17768,998400,17768,998400,17774,24,17774,998400,17775,998400,
17866,200000,17866,42,17867,29,17868,1209600,17868,1209600,17874,26,17875,1209600,17875,1209600,
17966,310000,17967,42,17969,61,17970,1209600,17971,1209600,17978,64,17978,1209600,17979,1209600,
18067,310000,18068,42,18069,80,18069,1209600,18070,1209600,18074,77,18075,1209600,18075,1209600,
18167,310000,18168,42,18169,34,18169,1209600,18170,1209600,18174,33,18174,1209600,18175,1209600,
18268,310000,18269,42,18270,32,18270,1209600,18271,1209600,18276,30,18276,1209600,18276,1209600,
18369,310000,18369,42,18370,42,18371,1209600,18371,1209600,18375,44,18375,1209600,18375,1209600,
18470,310000,18471,42,18472,32,18472,998400,18473,998400,18478,28,18479,998400,18480,998400,
18571,310000,18573,42,18574,40,18575,1209600,18576,1209600,18582,35,18583,1209600,18583,1209600,
18672,310000,18673,42,18675,32,18676,1094400,18677,1094400,18684,31,18685,1094400,18685,1094400,
18773,310000,18774,42,18775,28,18775,1209600,18776,1209600,18780,26,18781,1209600,18781,1209600,
18874,310000,18875,63,18876,53,18877,1209600,18877,1209600,18884,46,18884,1209600,18885,1209600,
18974,310000,18975,63,18976,57,18976,1209600,18977,1209600,18987,55,18988,1209600,18988,1209600,
19074,310000,19075,63,19076,40,19077,1209600,19078,1209600,19086,39,19087,1209600,19087,1209600,
19175,310000,19176,63,19178,85,19178,1209600,19179,1209600,19185,85,19185,1209600,19186,1209600,
19276,310000,19277,63,19279,78,19279,1209600,19280,1209600,19285,78,19285,1209600,19286,1209600,
19377,310000,19378,63,19379,51,19380,1209600,19380,1209600,19385,54,19386,1209600,19386,1209600,
19477,310000,19479,63,19480,37,19481,1094400,19481,1094400,19486,30,19486,1094400,19487,1094400,
19578,400000,19579,63,19580,39,19581,1209600,19581,1209600,19587,38,19588,1209600,19589,1209600,
19679,400000,19680,63,19681,46,19681,1209600,19682,1209600,19687,44,19688,1209600,19689,1209600,
19779,400000,19780,63,19782,58,19782,1209600,19783,1209600,19790,60,19791,1209600,19791,1209600,
19880,400000,19881,66,19882,50,19882,1209600,19883,1209600,19888,49,19889,1209600,19889,1209600,
19980,400000,19982,66,19983,42,19984,1209600,19984,1209600,19991,42,19991,1209600,19992,1209600,
20081,400000,20083,66,20085,63,20086,1209600,20086,1209600,20093,62,20093,1209600,20094,1209600,
20182,400000,20183,66,20185,44,20186,1094400,20187,1094400,20191,43,20192,1094400,20192,1094400,
20283,310000,20284,66,20285,35,20285,1209600,20285,1209600,20291,31,20292,1209600,20292,1209600,
20384,310000,20384,66,20385,31,20386,998400,20386,998400,20391,26,20391,998400,20392,998400,
20485,310000,20486,66,20488,30,20488,1094400,20488,1094400,20493,23,20494,1094400,20495,1094400,
20586,310000,20587,66,20587,21,20588,1209600,20588,1209600,20592,22,20592,1209600,20593,1209600,
20687,310000,20688,66,20689,16,20689,998400,20689,998400,20699,13,20700,1152000,20700,1152000,
20788,310000,20789,66,20790,20,20791,998400,20791,998400,20798,17,20799,1094400,20800,1094400,
20888,310000,20889,48,20890,43,20891,1209600,20891,1209600,20898,39,20898,1209600,20901,1209600,
20989,310000,20990,48,20992,30,20992,998400,20993,998400,20999,29,21000,998400,21000,998400,
21090,310000,21091,48,21093,30,21094,998400,21095,998400,21102,25,21103,998400,21103,998400,
21190,310000,21191,48,21193,40,21195,1209600,21195,1209600,21200,35,21201,1209600,21201,1209600,
21293,310000,21295,48,21296,47,21297,1209600,21297,1209600,21303,48,21303,1209600,21303,1209600,
